"package","version","library","shadowed_version","built"
"rprojroot","2.1.1","R_LIBS_USER","2.0.4","4.4.2"
"RSpectra","0.16-2","R_LIBS_USER",,"4.4.2"
"RSQLite","2.4.6","R_LIBS_USER",,"4.4.2"
"rstatix","0.7.3","R_LIBS_USER",,"4.4.2"
"rstudioapi","0.17.1","R module",,"4.4.2"
"rsvd","1.0.5","R_LIBS_USER",,"4.4.2"
"Rtsne","0.17","R_LIBS_USER",,"4.4.2"
"rversions","3.0.0","R_LIBS_USER","2.1.2","4.4.2"
"rvest","1.0.5","R_LIBS_USER",,"4.4.2"
"S4Arrays","1.6.0","R_LIBS_USER",,"4.4.2"
"S4Vectors","0.44.0","R_LIBS_USER",,"4.4.2"
"S7","0.2.2","R_LIBS_USER",,"4.4.2"
"sass","0.4.9","R module",,"4.4.2"
"ScaledMatrix","1.14.0","R_LIBS_USER",,"4.4.2"
"scales","1.4.0","R_LIBS_USER",,"4.4.2"
"scattermore","1.2","R_LIBS_USER",,"4.4.2"
"scGSVA","0.0.27","R_LIBS_USER",,"4.4.2"
"scran","1.34.0","R_LIBS_USER",,"4.4.2"
"sctransform","0.4.3","R_LIBS_USER",,"4.4.2"
"scuttle","1.16.0","R_LIBS_USER",,"4.4.2"
"selectr","0.5-1","R_LIBS_USER",,"4.4.2"
"sessioninfo","1.2.3","R_LIBS_USER","1.2.2","4.4.2"
"Seurat","5.5.0","R_LIBS_USER",,"4.4.2"
"SeuratObject","5.4.0","R_LIBS_USER",,"4.4.2"
"shiny","1.9.1","R module",,"4.4.2"
"SingleCellExperiment","1.28.1","R_LIBS_USER",,"4.4.2"
"SingleR","2.8.0","R_LIBS_USER",,"4.4.2"
"sitmo","2.0.2","R_LIBS_USER",,"4.4.2"
"sm","2.2-6.0","R_LIBS_USER",,"4.4.2"
"snow","0.4-4","R_LIBS_USER",,"4.4.2"
"SnowballC","0.7.1","R_LIBS_USER",,"4.4.2"
"sourcetools","0.1.7-1","R module",,"4.4.2"
"sp","2.2-1","R_LIBS_USER",,"4.4.2"
"spam","2.11-3","R_LIBS_USER",,"4.4.2"
"SpaNorm","1.0.0","R_LIBS_USER",,"4.4.2"
"SparseArray","1.6.2","R_LIBS_USER",,"4.4.2"
"SparseM","1.84-2","R_LIBS_USER",,"4.4.2"
"sparseMatrixStats","1.18.0","R_LIBS_USER",,"4.4.2"
"SpatialExperiment","1.16.0","R_LIBS_USER",,"4.4.2"
"spatstat.data","3.1-9","R_LIBS_USER",,"4.4.2"
"spatstat.explore","3.8-0","R_LIBS_USER",,"4.4.2"
"spatstat.geom","3.7-3","R_LIBS_USER",,"4.4.2"
"spatstat.random","3.4-5","R_LIBS_USER",,"4.4.2"
"spatstat.sparse","3.1-0","R_LIBS_USER",,"4.4.2"
"spatstat.univar","3.1-7","R_LIBS_USER",,"4.4.2"
"spatstat.utils","3.2-2","R_LIBS_USER",,"4.4.2"
"splines","4.4.2","R module",,"4.4.2"
"statmod","1.5.1","R_LIBS_USER",,"4.4.2"
"stats","4.4.2","R module",,"4.4.2"
"stats4","4.4.2","R module",,"4.4.2"
"stringi","1.8.4","R module",,"4.4.2"
"stringr","1.5.1","R module",,"4.4.2"
"SummarizedExperiment","1.36.0","R_LIBS_USER",,"4.4.2"
"survival","3.8-6","R_LIBS_USER",,"4.4.2"
"sys","3.4.3","R module",,"4.4.2"
"systemfonts","1.1.0","R module",,"4.4.2"
"tcltk","4.4.2","R module",,"4.4.2"
"tensor","1.5.1","R_LIBS_USER",,"4.4.2"
"testthat","3.3.2","R_LIBS_USER","3.2.1.1","4.4.2"
"textshaping","0.4.0","R module",,"4.4.2"
"tibble","3.3.1","R_LIBS_USER","3.2.1","4.4.2"
"tidyr","1.3.2","R_LIBS_USER",,"4.4.2"
"tidyselect","1.2.1","R_LIBS_USER",,"4.4.2"
"tidyverse","2.0.0","R_LIBS_USER",,"4.4.2"
"timechange","0.4.0","R_LIBS_USER",,"4.4.2"
"timeDate","4052.112","R_LIBS_USER",,"4.4.2"
"tinytex","0.54","R module",,"4.4.2"
"tools","4.4.2","R module",,"4.4.2"
"tzdb","0.5.0","R_LIBS_USER",,"4.4.2"
"UCell","2.10.1","R_LIBS_USER",,"4.4.2"
"UCSC.utils","1.2.0","R_LIBS_USER",,"4.4.2"
"umap","0.2.10.0","R_LIBS_USER",,"4.4.2"
"urca","1.3-4","R_LIBS_USER",,"4.4.2"
"urlchecker","1.0.1","R module",,"4.4.2"
"usethis","3.2.1","R_LIBS_USER","3.0.0","4.4.2"
"utf8","1.2.4","R module",,"4.4.2"
"utils","4.4.2","R module",,"4.4.2"
"uuid","1.2-2","R_LIBS_USER",,"4.4.2"
"uwot","0.2.4","R_LIBS_USER",,"4.4.2"
"vctrs","0.7.3","R_LIBS_USER","0.6.5","4.4.2"
"vioplot","0.5.1","R_LIBS_USER",,"4.4.2"
"viridis","0.6.5","R_LIBS_USER",,"4.4.2"
"viridisLite","0.4.3","R_LIBS_USER",,"4.4.2"
"vroom","1.7.1","R_LIBS_USER",,"4.4.2"
"waldo","0.6.2","R_LIBS_USER","0.6.1","4.4.2"
"whisker","0.4.1","R module",,"4.4.2"
"withr","3.0.2","R module",,"4.4.2"
"xfun","0.49","R module",,"4.4.2"
"XML","3.99-0.23","R_LIBS_USER",,"4.4.2"
"xml2","1.5.2","R_LIBS_USER","1.3.6","4.4.2"
"xopen","1.0.1","R module",,"4.4.2"
"xtable","1.8-4","R module",,"4.4.2"
"XVector","0.46.0","R_LIBS_USER",,"4.4.2"
"yaml","2.3.10","R module",,"4.4.2"
"zip","2.3.1","R module",,"4.4.2"
"zlibbioc","1.52.0","R_LIBS_USER",,"4.4.2"
"zoo","1.8-15","R_LIBS_USER",,"4.4.2"
